kernel_type,kernel_name,slope,intercept,unroll_offset,intra_block_offset,vector_offset,displacement_size,unroll_size,vector_size,DPU_frequency,VPU_frequency
ShaveModel1on1NPU40,sigmoid,4.019940428991265e-05,3.3992584112239674,0.573,0.052000000000000046,0.10499999999999998,1,16,32,1700,971
ShaveModel1on1NPU40,relu,4.138521194731098e-05,2.352712326542653,0.7289999999999996,0.31300000000000017,0.37625806451612887,1,16,32,1700,971
ShaveModel1on1NPU40,abs,4.023228074761724e-05,2.2384904425763006,0.7290000000000001,0.3120000000000003,0.677,0,16,32,1700,971
ShaveModel1on1NPU40,clamp,4.730290773176054e-05,3.292034321537221,0.9900000000000002,0.20800000000000018,0.4679999999999995,0,16,32,1700,971
ShaveModel1on1NPU40,cosh,0.00018525546488597634,3.0593591723839992,0.052000000000000046,0.5209999999999999,0.7549999999999999,0,16,32,1700,971
ShaveModel1on1NPU40,elu,0.0001227620081529506,3.156464879469926,1.302,0.41600000000000037,0.4159999999999995,0,16,32,1700,971
ShaveModel1on1NPU40,exp,4.024917463338663e-05,3.4082968611842306,0.7290000000000001,0.5730000000000004,0.365,0,16,32,1700,971
ShaveModel1on1NPU40,gelu,0.00019821381450153136,3.831757810197061,1.5099999999999998,0.6770000000000005,0.7549999999999999,0,16,32,1700,971
ShaveModel1on1NPU40,hsigmoid,6.748150440665098e-05,3.276396283425415,1.093,0.6769999999999996,0.4169999999999998,0,16,32,1700,971
ShaveModel1on1NPU40,log,4.035566981806428e-05,3.3466549831013506,0.677,0.3120000000000003,0.456774193548387,1,16,32,1700,971
ShaveModel1on1NPU40,selu,0.00021342145530944595,3.036294323488992,0.15700000000000003,0.20800000000000018,0.5914838709677415,0,16,32,1700,971
ShaveModel1on1NPU40,sinh,0.00018540567624076933,3.060341125986689,0.052999999999999936,0.625,0.5641290322580645,1,16,32,1700,971
ShaveModel1on1NPU40,sqrt,4.025701058769676e-05,1.4208838104003787,0.052000000000000046,0.2610000000000001,0.37574193548387086,1,16,32,1700,971
ShaveModel1on1NPU40,tanh,4.02429343709191e-05,3.3806505403657754,0.31300000000000017,0.46899999999999986,0.41700000000000026,1,16,32,1700,971
ShaveModel1on1NPU40,hardsigmoid,0.00010074916597764563,3.1874940865937447,0.3129999999999997,0.3119999999999994,0.3649999999999993,0,8,32,1700,971
ShaveModel1on1NPU40,swish,9.555924943138059e-05,2.051228651482223,0.46799999999999997,0.3650000000000002,0.4169999999999998,0,16,32,1700,971
ShaveModel1on1NPU40,hswish,0.00011693509124767046,3.041774154644731,0.26000000000000023,0.31199999999999983,0.7029999999999996,0,4,32,1700,971
ShaveModel1on1NPU40,prelu,0.00012072383111253706,3.048927503237934,0.3650000000000002,0.4159999999999999,0.46899999999999986,0,4,32,1700,971
ShaveModel1on1NPU40,mish,0.00023780801722464337,2.986894756471372,0.41700000000000026,0.15600000000000014,0.26,0,4,32,1700,971
ShaveModel1on1NPU40,negative,0.00033841491881243395,2.565357518670517,0.10400000000000009,0.052000000000000046,1.1449999999999998,0,4,32,1700,971
ShaveModel1on1NPU40,round,0.000870592418418142,2.376977974604202,0.3639999999999999,0.4690000000000003,0.8329999999999997,0,4,32,1700,971
ShaveModel1on1NPU40,ceiling,0.0007091722309042292,3.1571205019383797,0.15700000000000003,0,1.093,0,1,32,1700,971
ShaveModel1on1NPU40,floor,0.0006932151355282113,3.1392418278843905,0.052999999999999936,0,0.8849999999999998,0,1,32,1700,971
ShaveModel1on1NPU40,logicalnot,0.10332763979874438,8.91904436808727,51.82299999999999,44.947,7.291499999999985,0,16,16,1700,971
ShaveModel1on1NPU40,acos,0.089796868688205,3.9459453025165203,0,0,8.33400000000006,0,0,32,1700,971
ShaveModel1on1NPU40,acosh,0.06702394282788063,3.3286137786690233,0,0,0.6451612903225806,1,0,32,1700,971
ShaveModel1on1NPU40,asin,0.10154147024829147,2.7357096980395,0,0,7.969000000000051,1,0,32,1700,971
ShaveModel1on1NPU40,asinh,0.11605332767049333,2.8630419302044174,0,0,2.291499999999928,0,0,32,1700,971
ShaveModel1on1NPU40,atan,0.06706366771984057,2.781447981922611,0,0,4.217999999999989,0,0,32,1700,971
ShaveModel1on1NPU40,atanh,0.04747034366981506,3.8201322151135173,0,0,2.630000000000024,0,0,32,1700,971
ShaveModel1on1NPU40,tan,0.06803718144444594,2.5571148540730064,0,0,4.556999999999988,0,0,32,1700,971
ShaveModel1on1NPU40,cos,0.07006865747240584,5.229770004642887,0,0,7.392516129032248,1,0,32,1700,971
ShaveModel1on1NPU40,sign,0.023225715575169063,10.189651307656277,0,0,6.770499999999998,0,0,32,1700,971
ShaveModel1on1NPU40,sin,0.07057957091019762,5.025778609193367,0,0,6.5047741935483625,1,0,32,1700,971
ShaveModel1on1NPU40,cumsum,0.0123810724215695,4.65923198896553,0,0,0,0,0,0,1700,971
ShaveModel1on1NPU40,erf,0.008446657152247728,1.8608623599232033,0.5730000000000004,0,2.1870000000000003,0,1,8,1700,971
ShaveModel1on1NPU40,softplus,0.009736224882095044,2.9530676800817446,1.459,0,0.31300000000000017,0,1,8,1700,971
ShaveModel1on1NPU40,fakequantize,0.0034164843238472732,9.068586216839003,0.8300000000000001,0.05000000000000071,0.33999999999999986,0,4,8,1700,971
ShaveModel2on1NPU40,add,0.08305280001893048,1.522898284440089,85.10400000000001,79.79200000000003,5.155999999999949,0,16,32,1700,971
ShaveModel2on1NPU40,div,0.11871152368166447,1.4466271402889106,121.56299999999999,113.95799999999986,7.344000000000051,0,16,32,1700,971
ShaveModel2on1NPU40,floormod,0.11345581257756991,2.512126478846767,116.09300000000002,108.95799999999986,7.005499999999984,0,16,32,1700,971
ShaveModel2on1NPU40,greater,0.11771196046418407,1.4516003868411644,120.521,112.96899999999982,7.29200000000003,0,16,32,1700,971
ShaveModel2on1NPU40,greatereq,0.11771177663558233,1.4624760139813588,120.521,112.96899999999982,7.29200000000003,0,16,32,1700,971
ShaveModel2on1NPU40,less,0.11771197500104567,1.4320400836841145,120.521,113.02099999999996,7.29200000000003,0,16,32,1700,971
ShaveModel2on1NPU40,lesseq,0.11771179656403076,1.4441776614148694,120.573,113.07300000000009,7.29099999999994,0,16,32,1700,971
ShaveModel2on1NPU40,max,8.202514135034088e-05,5.816630287700751,0.15600000000000014,0.2599999999999998,2.162,0,16,32,1700,971
ShaveModel2on1NPU40,mul,7.049404262337985e-05,1.9651451433516982,0.10399999999999987,0.15700000000000003,1.198,0,16,32,1700,971
ShaveModel2on1NPU40,power,0.26107527649908907,4.438128777928796,268.49,247.18799999999965,17.526709677419163,0,16,32,1700,971
ShaveModel2on1NPU40,select,0.09130631997113312,9.158038029132513,93.802,87.76099999999985,5.6510000000000105,0,16,32,1700,971
ShaveModel2on1NPU40,squaredifference,0.08717963092593382,2.603089250242192,89.219,83.69799999999998,5.416999999999973,0,16,32,1700,971
ShaveModel2on1NPU40,sub,0.08305297844330742,1.5085183464270813,85.05200000000002,79.68700000000001,5.156000000000006,0,16,32,1700,971
ShaveModel2on1NPU40,min,0.08872699840162147,2.5685573759433282,90.886,85.15700000000004,5.469000000000051,0,16,32,1700,971
ShaveModel2on1NPU40,logicaland,0.12545447256603115,1.4375700575801602,128.437,120.46899999999982,7.812000000000012,0,16,32,1700,971
ShaveModel2on1NPU40,logicalor,0.12545401827935507,1.4483459946459334,128.437,96.35400000000004,7.761000000000081,0,16,32,1700,971
ShaveModel2on1NPU40,logicalxor,0.12545422392681696,1.422946800943464,128.489,96.30199999999991,7.786499999999933,0,16,32,1700,971
ShaveModel2on1NPU40,notequal,0.11771631721091573,1.432519556259649,120.521,113.02100000000019,7.291999999999916,0,16,32,1700,971
ShaveModel1on1NPU40,default,0.000294118,0,0,0,0,0,1,1,1700,971
ShaveModel2on1NPU40,equal,0,1.736461538,0,0,0,0,16,32,1700,971
